,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,CO
1070.0,2023-10-31,3.0,881.2,1.24,44.55,105.86,10.37,10.6,13.18,3.07,
1071.0,2023-11-01,3.0,894.55,4.86,37.36,110.15,12.4,10.87,14.45,4.88,
1072.0,2023-11-02,2.0,774.38,3.86,30.5,43.99,8.82,10.31,13.46,3.96,
1073.0,2023-11-03,1.0,854.49,9.83,28.1,30.76,8.34,9.1,11.47,3.42,
1074.0,2023-11-04,2.0,1041.41,21.68,22.62,25.39,9.89,13.54,16.9,3.8,
1075.0,2023-11-05,2.0,747.68,13.3,26.39,33.26,10.13,14.53,16.84,2.75,
1076.0,2023-11-06,3.0,1976.01,52.75,57.58,44.35,22.89,39.9,49.01,8.87,
1077.0,2023-11-07,3.0,2056.12,68.84,52.09,59.37,17.17,41.81,49.78,5.89,
1078.0,2023-11-08,2.0,1094.82,24.36,54.15,65.8,13.95,13.99,17.87,4.05,
1079.0,2023-11-09,2.0,841.14,2.43,33.59,63.66,10.01,8.92,12.4,3.13,
1080.0,2023-11-10,4.0,700.95,1.73,28.45,94.41,8.34,62.52,70.2,3.51,
1081.0,2023-11-11,5.0,807.76,5.64,26.39,131.61,6.79,100.02,115.64,3.77,
1082.0,2023-11-12,5.0,700.95,1.7,25.02,137.33,6.79,106.74,127.08,6.02,
1083.0,2023-11-13,5.0,714.3,1.12,25.7,125.89,7.45,119.28,137.35,5.83,
1084.0,2023-11-14,5.0,727.65,1.52,29.13,123.02,6.62,91.39,107.29,3.45,
1085.0,2023-11-15,4.0,687.6,2.1,26.05,115.87,8.11,64.16,69.37,3.67,
1086.0,2023-11-16,4.0,1255.04,11.18,63.75,127.32,11.8,66.24,73.75,9.63,
1087.0,2023-11-17,5.0,2269.74,74.21,38.39,127.32,12.4,98.28,106.79,6.46,
1088.0,2023-11-18,3.0,700.95,2.91,21.42,113.01,7.99,22.22,25.39,3.45,
1089.0,2023-11-19,2.0,607.49,2.46,23.31,92.98,6.5,13.02,15.52,4.75,
1090.0,2023-11-20,2.0,620.84,3.46,20.91,63.66,6.68,12.84,15.36,3.64,
1091.0,2023-11-21,2.0,647.54,3.58,26.05,81.54,7.57,13.86,17.25,3.67,
1092.0,2023-11-22,2.0,1094.82,18.1,41.47,23.25,12.28,12.03,15.08,3.7,
1093.0,2023-11-23,1.0,867.84,10.84,38.04,39.7,10.25,9.19,12.54,3.23,
1094.0,2023-11-24,2.0,754.36,6.15,35.3,41.13,9.42,10.41,13.56,2.94,
1095.0,2023-11-25,2.0,567.44,3.24,15.77,65.8,5.66,14.59,16.17,2.15,
1096.0,2023-11-26,2.0,514.03,0.99,15.77,70.81,6.14,18.72,22.75,2.34,
1097.0,2023-11-27,2.0,640.87,2.15,24.33,67.95,8.34,11.36,13.64,2.85,
1098.0,2023-11-28,2.0,700.95,8.49,25.36,48.64,10.85,13.39,17.06,3.51,
1099.0,2023-11-29,1.0,587.46,2.6,23.99,42.92,9.89,6.44,8.98,2.66,
1100.0,2023-11-30,2.0,620.84,2.04,26.73,60.08,8.34,8.73,12.31,2.85,
1101.0,2023-12-01,1.0,614.17,4.58,25.02,36.48,9.42,7.38,9.74,2.91,
1102.0,2023-12-02,2.0,560.76,4.19,18.16,73.67,5.19,23.24,27.89,3.48,
1103.0,2023-12-03,1.0,460.62,0.43,15.42,58.65,3.43,8.36,9.16,1.5,
1104.0,2023-12-04,2.0,527.38,0.86,19.71,50.78,6.68,13.97,16.49,3.51,
1105.0,2023-12-05,4.0,2189.64,62.58,50.04,62.94,13.83,54.52,71.66,16.09,
1106.0,2023-12-06,5.0,4379.27,143.05,116.53,135.9,33.86,98.64,120.32,29.39,
1107.0,2023-12-07,4.0,1869.2,11.06,106.93,94.41,18.36,57.25,61.03,7.54,
1108.0,2023-12-08,3.0,974.66,3.16,40.1,66.52,10.97,27.31,30.08,3.61,
1109.0,2023-12-09,2.0,761.03,6.03,23.65,69.38,7.75,10.23,12.14,2.82,
1110.0,2023-12-10,3.0,674.25,2.65,22.28,113.01,7.99,22.71,26.46,4.12,
1111.0,2023-12-11,3.0,841.14,3.52,38.39,84.4,12.28,28.01,33.03,5.45,
1112.0,2023-12-12,3.0,754.36,2.01,32.9,104.43,9.89,36.91,43.74,8.87,
1113.0,2023-12-13,3.0,767.71,4.86,30.5,110.15,10.97,26.14,31.96,6.71,
1114.0,2023-12-14,4.0,674.25,2.01,32.56,115.87,10.01,52.27,61.5,5.13,
1115.0,2023-12-15,4.0,854.49,8.27,33.59,84.4,12.4,51.93,61.17,3.48,
1116.0,2023-12-16,3.0,560.76,0.57,17.31,100.14,5.36,35.7,38.45,2.25,
1117.0,2023-12-17,2.0,480.65,0.72,15.08,91.55,4.53,14.39,16.19,2.5,
1118.0,2023-12-18,3.0,567.44,1.19,21.08,89.41,7.09,27.82,33.47,2.88,
1119.0,2023-12-19,5.0,647.54,2.54,29.13,113.01,8.7,88.51,101.58,5.57,
1120.0,2023-12-20,5.0,754.36,1.62,33.59,90.84,9.3,85.5,93.77,5.32,
1121.0,2023-12-21,5.0,801.09,5.25,31.87,94.41,13.35,90.24,97.54,6.02,
1122.0,2023-12-22,5.0,894.55,7.1,48.67,111.58,12.99,85.02,90.0,9.12,
1123.0,2023-12-23,5.0,1188.28,9.28,47.98,133.04,12.16,102.95,110.96,3.26,
1124.0,2023-12-24,5.0,1121.52,7.6,49.35,104.43,9.06,107.49,116.92,5.0,
1125.0,2023-12-25,3.0,547.41,2.74,24.68,77.25,7.75,43.01,47.91,5.64,
1126.0,2023-12-26,3.0,867.84,8.94,34.62,108.72,10.73,44.13,50.29,6.97,
1127.0,2023-12-27,4.0,614.17,5.64,22.96,97.27,8.7,73.74,82.87,5.19,
1128.0,2023-12-28,4.0,687.6,2.99,28.1,73.67,8.23,50.3,55.17,4.69,
1129.0,2023-12-29,2.0,620.84,3.63,27.76,69.38,9.42,16.31,20.55,4.81,
1130.0,2023-12-30,3.0,600.81,3.97,27.42,87.26,7.33,34.82,41.77,7.22,
1131.0,2023-12-31,3.0,587.46,2.65,21.76,92.98,8.82,49.45,56.02,4.75,
1132.0,2024-01-01,5.0,694.27,5.14,29.13,137.33,14.66,85.31,98.08,5.0,
1133.0,2024-01-02,5.0,814.44,1.27,32.22,101.57,11.44,117.07,132.76,4.69,
1134.0,2024-01-03,4.0,727.65,2.88,32.56,120.16,10.73,71.82,82.35,4.43,
1135.0,2024-01-04,4.0,594.14,0.27,26.05,76.53,8.82,66.1,73.69,3.55,
1136.0,2024-01-05,4.0,741.0,2.12,34.96,100.14,11.92,54.97,66.89,3.61,
1137.0,2024-01-06,3.0,480.65,1.76,17.65,100.14,6.44,47.36,58.06,3.13,
1138.0,2024-01-07,3.0,514.03,2.96,18.68,80.11,7.09,25.39,32.02,3.23,
1139.0,2024-01-08,3.0,554.08,0.69,24.33,75.1,6.2,46.02,47.72,1.77,
1140.0,2024-01-09,4.0,420.57,0.0,5.74,74.39,4.77,50.97,53.39,1.23,
1141.0,2024-01-10,4.0,647.54,2.6,25.7,100.14,8.34,52.23,63.39,4.05,
1142.0,2024-01-11,3.0,714.3,4.64,27.76,113.01,9.78,45.82,55.03,4.69,
1143.0,2024-01-12,5.0,667.57,3.05,22.62,117.3,11.09,75.65,88.88,4.24,
1144.0,2024-01-13,5.0,894.55,2.21,39.41,95.84,10.01,99.77,107.69,5.13,
1145.0,2024-01-14,5.0,961.3,7.38,34.96,114.44,10.37,77.48,85.28,6.71,
1146.0,2024-01-15,5.0,1789.09,29.95,52.09,143.05,18.12,110.68,122.59,5.57,
1147.0,2024-01-16,5.0,1281.74,9.28,52.78,153.06,20.5,107.35,116.97,6.4,
1148.0,2024-01-17,4.0,1121.52,9.28,61.69,161.65,19.07,66.54,72.79,7.41,
1149.0,2024-01-18,4.0,1562.12,9.05,97.33,141.62,22.65,55.16,63.38,7.35,
1150.0,2024-01-19,3.0,1214.98,21.46,42.16,135.9,12.87,47.53,54.17,4.75,
1151.0,2024-01-20,4.0,767.71,5.31,40.1,127.32,12.76,54.21,62.9,5.83,
1152.0,2024-01-21,4.0,907.9,5.09,49.35,130.18,14.07,56.19,64.21,7.09,
1153.0,2024-01-22,3.0,988.01,9.83,51.41,135.9,14.07,39.68,46.05,6.46,
1154.0,2024-01-23,4.0,2216.34,23.02,120.64,145.91,21.7,52.63,62.19,9.75,
1155.0,2024-01-24,5.0,1815.8,19.67,115.16,147.34,31.95,79.32,90.52,8.61,
1156.0,2024-01-25,5.0,1308.44,19.45,54.84,127.32,29.09,105.4,120.82,6.33,
1157.0,2024-01-26,3.0,694.27,6.03,28.45,110.15,10.97,23.12,30.63,6.08,
1158.0,2024-01-27,2.0,574.11,2.99,19.71,98.71,7.63,10.31,13.04,4.5,
1159.0,2024-01-28,2.0,714.3,3.86,27.08,98.71,8.11,12.93,16.91,4.62,
1160.0,2024-01-29,4.0,734.33,3.02,33.24,120.16,10.01,59.2,71.15,7.73,
1161.0,2024-01-30,5.0,3204.35,50.07,171.36,183.11,37.67,95.37,117.67,31.41,
1162.0,2024-01-31,5.0,1895.9,15.2,102.82,168.8,21.7,79.34,92.37,12.54,
1163.0,2024-02-01,5.0,2990.72,46.04,132.98,177.38,29.8,102.19,119.26,19.0,
1164.0,2024-02-02,5.0,4005.43,114.44,119.27,86.55,31.47,94.98,116.17,19.76,
1165.0,2024-02-03,3.0,687.6,1.37,24.68,88.69,17.64,34.62,40.95,5.26,
1166.0,2024-02-04,4.0,774.38,5.14,30.5,121.59,16.69,56.29,63.2,5.7,
1167.0,2024-02-05,5.0,1348.5,20.79,47.3,131.61,14.19,79.88,89.57,6.46,
1168.0,2024-02-06,5.0,1361.85,11.96,58.26,115.87,16.21,124.43,137.28,5.83,
1169.0,2024-02-07,5.0,1375.2,16.76,54.84,108.72,14.66,125.59,138.79,7.35,
1170.0,2024-02-08,5.0,1575.47,12.74,76.09,123.02,24.08,119.53,131.46,7.09,
1171.0,2024-02-09,4.0,1134.87,9.39,52.09,134.47,15.74,52.47,63.17,6.14,
1172.0,2024-02-10,4.0,660.9,5.76,23.99,135.9,12.76,63.58,73.8,4.18,
1173.0,2024-02-11,4.0,707.63,2.32,25.02,107.29,10.61,70.62,86.88,4.88,
1174.0,2024-02-12,4.0,1108.17,12.29,44.55,117.3,14.9,72.92,89.18,6.27,
1175.0,2024-02-13,3.0,707.63,5.53,32.22,97.27,14.07,35.31,46.37,4.62,
1176.0,2024-02-14,3.0,827.79,11.18,27.42,104.43,16.69,42.01,48.16,5.7,
1177.0,2024-02-15,4.0,907.9,7.71,29.82,125.89,18.36,53.11,61.26,5.38,
1178.0,2024-02-16,4.0,754.36,3.69,25.36,131.61,17.64,50.27,58.13,5.83,
1179.0,2024-02-17,4.0,754.36,5.09,27.08,135.9,10.37,51.27,59.62,7.6,
1180.0,2024-02-18,4.0,1134.87,10.28,45.93,131.61,17.17,50.14,59.29,8.74,
1181.0,2024-02-19,4.0,1041.41,11.18,56.89,120.16,19.07,53.1,61.7,8.99,
1182.0,2024-02-20,4.0,2803.8,51.41,116.53,150.2,28.37,71.22,90.86,17.99,
1183.0,2024-02-21,5.0,3017.43,57.22,98.71,153.06,26.23,100.26,119.99,18.24,
1184.0,2024-02-22,4.0,1949.31,21.01,104.19,143.05,22.17,69.29,86.78,18.24,
1185.0,2024-02-23,4.0,2216.34,40.68,120.64,171.66,26.46,74.71,93.57,22.55,
1186.0,2024-02-24,3.0,1214.98,13.86,43.18,114.44,16.45,44.24,56.49,10.39,
1187.0,2024-02-25,3.0,547.41,3.52,19.54,138.76,14.9,44.01,50.35,3.93,
1188.0,2024-02-26,3.0,587.46,4.02,19.54,108.72,8.94,28.45,36.02,3.83,
1189.0,2024-02-27,2.0,667.57,4.19,25.7,87.98,11.68,18.33,24.62,4.24,
1190.0,2024-02-28,3.0,907.9,16.09,27.42,118.73,16.93,32.51,38.12,7.92,
1191.0,2024-02-29,3.0,1161.58,26.6,40.78,107.29,18.84,33.0,39.61,8.61,
1192.0,2024-03-01,3.0,1148.22,23.02,36.67,111.58,12.4,36.14,41.79,7.09,
1193.0,2024-03-02,4.0,694.27,3.58,27.42,118.73,11.21,52.17,58.79,6.02,
1194.0,2024-03-03,5.0,2002.72,39.34,70.6,178.81,48.64,99.81,110.03,8.11,
1195.0,2024-03-04,5.0,1308.44,11.73,54.84,191.69,29.56,84.37,94.73,7.66,
1196.0,2024-03-05,5.0,1735.69,22.35,69.92,211.72,48.16,123.31,136.53,7.16,
1197.0,2024-03-06,5.0,3177.64,58.11,137.09,174.52,44.35,110.95,125.53,13.17,
1198.0,2024-03-07,4.0,1375.2,23.47,51.41,168.8,33.86,68.13,77.25,10.64,
1199.0,2024-03-08,5.0,4592.9,144.84,126.12,127.32,34.81,88.44,107.92,19.25,
1200.0,2024-03-09,4.0,1535.42,26.15,54.15,138.76,22.65,71.05,79.54,11.4,
1201.0,2024-03-10,4.0,734.33,1.59,29.13,120.16,21.22,73.65,82.84,5.0,
1202.0,2024-03-11,4.0,974.66,6.76,42.5,143.05,17.88,58.67,67.1,7.28,
1203.0,2024-03-12,4.0,847.82,6.03,33.93,140.19,34.33,65.9,78.6,5.83,
1204.0,2024-03-13,5.0,2750.4,24.81,139.83,165.94,34.81,89.07,107.92,15.45,
1205.0,2024-03-14,5.0,2990.72,34.87,159.03,163.08,38.62,98.34,121.0,21.28,
1206.0,2024-03-15,5.0,1321.79,16.99,49.35,158.79,32.9,81.44,93.78,10.39,
1207.0,2024-03-16,5.0,881.2,5.03,35.3,144.48,23.13,75.36,87.06,8.04,
1208.0,2024-03-17,4.0,794.41,11.18,29.82,145.91,24.8,60.74,70.65,5.38,
1209.0,2024-03-18,4.0,1108.17,11.85,47.3,165.94,33.38,53.42,65.55,9.5,
1210.0,2024-03-19,5.0,1174.93,11.18,51.41,180.24,30.04,72.07,83.0,8.87,
1211.0,2024-03-20,5.0,1001.36,5.09,43.87,161.65,25.27,75.77,86.43,8.11,
1212.0,2024-03-21,3.0,540.73,2.24,19.19,130.18,10.73,45.78,55.3,3.8,
1213.0,2024-03-22,4.0,614.17,4.36,22.28,143.05,14.07,26.54,30.79,4.88,
,2024-03-01 20:00:00,2.0,,,6.68,59.37,4.47,20.68,,4.56,363.83
,2024-03-01 21:00:00,2.0,,,6.0,56.51,4.17,20.62,,4.88,357.15
,2024-03-01 22:00:00,2.0,,,6.17,53.64,4.35,21.08,,5.07,363.83
,2024-03-01 23:00:00,2.0,,,6.6,50.78,4.53,21.79,,5.19,370.5
,2024-03-02 00:00:00,2.0,,,7.8,47.92,4.77,22.6,,5.0,390.53
,2024-03-02 01:00:00,2.0,,,12.0,43.27,5.36,23.55,,4.94,440.6
,2024-03-02 02:00:00,2.0,,,22.28,34.69,7.09,24.8,,5.13,574.11
,2024-03-02 03:00:00,2.0,,,27.42,34.33,9.18,24.87,,5.07,694.27
,2024-03-02 04:00:00,2.0,,,16.79,61.51,8.46,21.69,,3.58,560.76
,2024-03-02 05:00:00,2.0,,,9.42,89.41,7.33,21.35,,2.91,453.95
,2024-03-02 06:00:00,3.0,,,5.48,110.15,6.08,21.67,,2.44,400.54
,2024-03-02 07:00:00,3.0,,,3.3,108.72,3.7,18.65,,1.39,343.8
,2024-03-02 08:00:00,3.0,,,3.21,107.29,3.22,15.95,,1.11,330.45
,2024-03-02 09:00:00,3.0,,,3.34,107.29,3.19,14.27,,1.14,327.11
,2024-03-02 10:00:00,3.0,,,4.11,107.29,3.55,13.65,,1.23,333.79
,2024-03-02 11:00:00,3.0,,,6.0,107.29,4.23,13.9,,1.5,357.15
,2024-03-02 12:00:00,3.0,,,9.0,100.14,4.83,14.35,,1.79,390.53
,2024-03-02 13:00:00,2.0,,,19.88,78.68,6.62,16.21,,3.01,520.71
,2024-03-02 14:00:00,2.0,,,21.76,66.52,7.99,18.13,,4.69,580.79
,2024-03-02 15:00:00,2.0,,,18.51,64.37,7.87,17.9,,5.64,554.08
,2024-03-02 16:00:00,2.0,,,14.57,65.8,6.68,15.87,,6.02,500.68
,2024-03-02 17:00:00,2.0,,,12.68,67.95,6.02,14.03,,5.95,467.3
,2024-03-02 18:00:00,2.0,,,11.31,77.25,5.84,14.59,,5.32,440.6
,2024-03-02 19:00:00,3.0,,,8.14,101.57,6.32,19.68,,3.51,397.21
,2024-03-02 20:00:00,3.0,,,6.34,117.3,8.23,28.71,,2.69,380.52
,2024-03-02 21:00:00,3.0,,,5.74,118.73,11.21,38.82,,2.41,380.52
,2024-03-02 22:00:00,3.0,,,7.71,103.0,11.21,47.02,,3.58,420.57
,2024-03-02 23:00:00,4.0,,,11.48,82.25,10.01,52.17,,5.13,487.33
,2024-03-03 00:00:00,4.0,,,18.68,64.37,10.97,57.02,,6.08,587.46
,2024-03-03 01:00:00,4.0,,,37.7,40.77,15.02,65.7,,7.41,827.79
,2024-03-03 02:00:00,5.0,,,66.49,8.31,19.55,80.42,,8.11,1401.9
,2024-03-03 03:00:00,5.0,,,70.6,12.34,25.27,96.51,,7.6,2002.72
,2024-03-03 04:00:00,5.0,,,29.47,80.11,48.64,92.56,,0.14,787.73
,2024-03-03 05:00:00,5.0,,,17.14,121.59,47.21,93.2,,0.0,627.52
,2024-03-03 06:00:00,5.0,,,10.28,167.37,45.78,99.81,,0.0,560.76
,2024-03-03 07:00:00,5.0,,,6.0,178.81,33.38,83.22,,0.0,480.65
,2024-03-03 08:00:00,4.0,,,5.1,168.8,23.13,62.27,,0.0,423.91
,2024-03-03 09:00:00,4.0,,,4.97,157.36,17.64,49.65,,0.0,393.87
,2024-03-03 10:00:00,4.0,,,6.51,143.05,13.95,41.51,,0.01,390.53
,2024-03-03 11:00:00,3.0,,,10.02,128.75,12.04,36.88,,0.5,423.91
,2024-03-03 12:00:00,3.0,,,14.22,115.87,10.37,34.54,,1.14,473.98
,2024-03-03 13:00:00,3.0,,,17.99,103.0,9.54,33.61,,2.25,527.38
,2024-03-03 14:00:00,3.0,,,17.48,94.41,8.7,33.23,,3.99,547.41
,2024-03-03 15:00:00,3.0,,,15.08,87.98,7.45,32.18,,4.94,514.03
,2024-03-03 16:00:00,3.0,,,11.82,80.82,6.08,31.11,,5.13,460.62
,2024-03-03 17:00:00,3.0,,,10.62,75.1,5.54,29.83,,5.13,440.6
,2024-03-03 18:00:00,3.0,,,9.77,74.39,5.25,29.72,,4.81,423.91
,2024-03-03 19:00:00,3.0,,,8.31,80.11,5.07,34.2,,4.43,407.22
,2024-03-03 20:00:00,3.0,,,7.71,83.68,5.72,40.85,,4.81,417.23
,2024-03-03 21:00:00,3.0,,,7.03,85.12,5.96,46.64,,5.19,423.91
,2024-03-03 22:00:00,4.0,,,7.63,80.82,6.02,50.79,,5.38,447.27
,2024-03-03 23:00:00,4.0,,,9.25,72.96,6.14,54.02,,5.45,487.33
,2024-03-04 00:00:00,4.0,,,13.02,64.37,6.44,56.56,,5.45,547.41
,2024-03-04 01:00:00,4.0,,,24.68,51.5,7.75,60.0,,6.08,700.95
,2024-03-04 02:00:00,4.0,,,47.98,32.19,12.4,66.48,,7.66,1068.12
,2024-03-04 03:00:00,4.0,,,54.84,40.05,20.5,72.94,,7.09,1308.44
,2024-03-04 04:00:00,4.0,,,29.13,97.27,28.13,73.31,,2.72,834.47
,2024-03-04 05:00:00,5.0,,,19.88,140.19,28.61,76.1,,1.79,727.65
,2024-03-04 06:00:00,5.0,,,14.05,191.69,29.56,84.37,,1.42,680.92
,2024-03-04 07:00:00,5.0,,,7.2,183.11,18.12,62.95,,0.76,507.35
,2024-03-04 08:00:00,4.0,,,6.25,170.23,12.76,48.48,,0.88,447.27
,2024-03-04 09:00:00,4.0,,,6.77,161.65,11.21,43.47,,1.08,423.91
,2024-03-04 10:00:00,4.0,,,8.4,150.2,10.61,40.42,,1.33,427.25
,2024-03-04 11:00:00,4.0,,,11.14,141.62,10.73,39.71,,1.6,447.27
,2024-03-04 12:00:00,3.0,,,15.08,130.18,10.85,39.03,,1.88,480.65
,2024-03-04 13:00:00,3.0,,,18.68,115.87,11.44,39.01,,2.6,520.71
,2024-03-04 14:00:00,3.0,,,17.48,117.3,10.61,39.65,,3.83,540.73
,2024-03-04 15:00:00,3.0,,,13.88,127.32,8.23,41.52,,4.81,547.41
,2024-03-04 16:00:00,3.0,,,11.31,113.01,7.39,42.02,,4.5,500.68
,2024-03-04 17:00:00,3.0,,,11.48,97.27,7.99,41.18,,4.24,460.62
,2024-03-04 18:00:00,3.0,,,11.48,94.41,7.99,46.8,,3.96,453.95
,2024-03-04 19:00:00,4.0,,,10.71,97.27,7.75,56.99,,3.74,453.95
,2024-03-04 20:00:00,4.0,,,9.51,100.14,7.63,66.55,,3.93,460.62
,2024-03-04 21:00:00,4.0,,,8.4,101.57,7.45,74.18,,3.48,460.62
,2024-03-04 22:00:00,5.0,,,9.08,94.41,7.03,79.13,,3.04,487.33
,2024-03-04 23:00:00,5.0,,,11.48,82.97,6.74,82.96,,3.2,540.73
,2024-03-05 00:00:00,5.0,,,17.31,70.1,7.21,86.8,,3.42,627.52
,2024-03-05 01:00:00,5.0,,,35.64,48.64,9.06,92.39,,4.56,881.2
,2024-03-05 02:00:00,5.0,,,68.55,21.28,13.71,101.66,,7.16,1455.31
,2024-03-05 03:00:00,5.0,,,69.92,38.27,21.46,108.59,,6.78,1735.69
,2024-03-05 04:00:00,5.0,,,37.36,105.86,42.92,107.51,,0.64,1001.36
,2024-03-05 05:00:00,5.0,,,28.45,154.5,48.16,116.08,,0.41,907.9
,2024-03-05 06:00:00,5.0,,,16.45,211.72,44.35,123.31,,0.52,774.38
,2024-03-05 07:00:00,4.0,,,6.51,164.51,18.36,64.2,,0.5,453.95
,2024-03-05 08:00:00,4.0,,,5.4,143.05,9.3,40.78,,1.08,390.53
,2024-03-05 09:00:00,3.0,,,5.48,137.33,7.09,34.67,,1.44,383.85
,2024-03-05 10:00:00,3.0,,,6.34,134.47,6.62,32.94,,1.66,390.53
,2024-03-05 11:00:00,3.0,,,8.05,127.32,6.56,31.92,,1.85,403.88
,2024-03-05 12:00:00,3.0,,,10.45,115.87,6.2,30.61,,2.03,420.57
,2024-03-05 13:00:00,3.0,,,10.97,104.43,5.78,29.8,,2.31,413.89
,2024-03-05 14:00:00,3.0,,,9.77,100.14,5.6,28.22,,2.5,390.53
,2024-03-05 15:00:00,3.0,,,8.31,101.57,5.96,28.03,,2.25,363.83
,2024-03-05 16:00:00,3.0,,,8.74,105.86,8.58,35.75,,2.25,367.16
,2024-03-05 17:00:00,3.0,,,10.28,110.15,10.97,47.38,,2.72,403.88
,2024-03-05 18:00:00,4.0,,,10.97,111.58,11.21,57.63,,2.85,427.25
,2024-03-05 19:00:00,4.0,,,13.37,103.0,11.32,63.99,,3.29,467.3
,2024-03-05 20:00:00,4.0,,,14.39,90.12,12.16,67.77,,4.31,487.33
,2024-03-05 21:00:00,4.0,,,14.05,77.96,13.59,70.44,,5.0,494.0
,2024-03-05 22:00:00,4.0,,,15.08,66.52,15.97,73.93,,5.38,507.35
,2024-03-05 23:00:00,5.0,,,15.77,57.94,18.6,80.44,,5.32,507.35
,2024-03-06 00:00:00,5.0,,,18.34,47.92,20.74,91.83,,4.81,534.06
,2024-03-06 01:00:00,5.0,,,29.82,31.83,22.89,103.87,,4.88,674.25
,2024-03-06 02:00:00,5.0,,,51.41,9.12,25.03,110.95,,6.14,1041.41
,2024-03-06 03:00:00,5.0,,,50.72,16.09,23.6,101.07,,6.84,1308.44
,2024-03-06 04:00:00,4.0,,,27.42,72.96,17.17,65.04,,3.64,787.73
,2024-03-06 05:00:00,4.0,,,19.71,118.73,16.45,59.35,,3.67,707.63
,2024-03-06 06:00:00,4.0,,,15.59,174.52,18.84,66.94,,3.89,687.6
,2024-03-06 07:00:00,4.0,,,10.02,164.51,12.64,50.49,,2.22,514.03
,2024-03-06 08:00:00,4.0,,,9.6,161.65,11.21,45.7,,1.66,480.65
,2024-03-06 09:00:00,4.0,,,9.94,170.23,11.32,47.63,,1.65,480.65
,2024-03-06 10:00:00,4.0,,,44.55,131.61,13.95,53.38,,3.77,934.6
,2024-03-06 11:00:00,4.0,,,102.82,57.94,17.4,61.14,,6.78,1815.8
,2024-03-06 12:00:00,4.0,,,137.09,9.03,19.79,65.86,,9.63,2643.59
,2024-03-06 13:00:00,4.0,,,137.09,0.4,22.41,69.71,,12.92,3177.64
,2024-03-06 14:00:00,4.0,,,132.98,0.0,25.03,73.25,,13.17,3150.94
,2024-03-06 15:00:00,4.0,,,127.49,1.54,22.89,66.56,,10.51,2376.56
,2024-03-06 16:00:00,4.0,,,65.8,47.92,14.31,51.72,,6.02,1134.87
,2024-03-06 17:00:00,3.0,,,27.76,82.25,10.97,48.99,,3.74,654.22
,2024-03-06 18:00:00,3.0,,,17.48,92.98,13.35,49.32,,2.34,520.71
,2024-03-06 19:00:00,3.0,,,13.19,94.41,27.42,48.13,,1.73,420.57
,2024-03-06 20:00:00,3.0,,,14.22,80.11,39.1,49.04,,2.72,413.89
,2024-03-06 21:00:00,3.0,,,14.91,67.95,44.35,49.84,,3.45,417.23
,2024-03-06 22:00:00,3.0,,,15.42,59.37,44.35,49.99,,4.18,427.25
,2024-03-06 23:00:00,3.0,,,15.94,52.21,38.62,49.62,,5.26,447.27
,2024-03-07 00:00:00,3.0,,,18.16,45.06,30.04,48.28,,6.59,494.0
,2024-03-07 01:00:00,3.0,,,29.82,30.4,24.08,48.49,,8.11,647.54
,2024-03-07 02:00:00,4.0,,,50.72,7.87,23.13,51.95,,10.01,1054.76
,2024-03-07 03:00:00,4.0,,,51.41,13.95,24.56,53.97,,10.64,1375.2
,2024-03-07 04:00:00,3.0,,,19.88,85.83,17.17,37.47,,3.45,600.81
,2024-03-07 05:00:00,3.0,,,10.45,120.16,13.11,36.08,,1.71,460.62
,2024-03-07 06:00:00,4.0,,,7.28,143.05,12.04,38.13,,1.41,427.25
,2024-03-07 07:00:00,4.0,,,6.43,157.36,11.32,40.34,,1.35,423.91
,2024-03-07 08:00:00,4.0,,,6.68,167.37,10.85,41.59,,1.36,427.25
,2024-03-07 09:00:00,4.0,,,7.11,168.8,10.37,41.76,,1.47,433.92
,2024-03-07 10:00:00,4.0,,,8.65,167.37,10.61,41.67,,1.61,440.6
,2024-03-07 11:00:00,4.0,,,12.17,158.79,11.09,41.01,,1.82,473.98
,2024-03-07 12:00:00,4.0,,,17.14,140.19,11.56,39.33,,2.06,507.35
,2024-03-07 13:00:00,3.0,,,23.99,111.58,12.99,38.23,,2.79,574.11
,2024-03-07 14:00:00,3.0,,,24.68,95.84,14.31,39.04,,4.18,614.17
,2024-03-07 15:00:00,3.0,,,20.05,97.27,13.59,38.19,,5.0,580.79
,2024-03-07 16:00:00,3.0,,,15.42,98.71,10.97,32.61,,5.38,527.38
,2024-03-07 17:00:00,3.0,,,14.05,94.41,8.94,30.4,,5.32,507.35
,2024-03-07 18:00:00,3.0,,,13.02,104.43,13.59,39.95,,4.05,487.33
,2024-03-07 19:00:00,4.0,,,14.05,108.72,27.42,55.34,,3.07,494.0
,2024-03-07 20:00:00,4.0,,,14.22,100.14,33.86,64.71,,3.7,500.68
,2024-03-07 21:00:00,4.0,,,13.54,92.98,32.9,68.13,,4.5,507.35
,2024-03-07 22:00:00,4.0,,,13.02,89.41,28.85,67.66,,5.13,514.03
,2024-03-07 23:00:00,4.0,,,12.0,88.69,22.17,62.78,,5.64,500.68
,2024-03-08 00:00:00,4.0,,,13.54,81.54,16.21,56.3,,6.46,520.71
,2024-03-08 01:00:00,4.0,,,23.99,61.51,14.78,51.35,,7.66,640.87
,2024-03-08 02:00:00,3.0,,,47.98,27.89,16.93,49.95,,9.37,974.66
