
Unnamed: 0,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,CO
160.0,2021-05-04,5.0,2002.72,14.31,141.2,123.02,263.21,115.2,167.79,36.48,
161.0,2021-05-05,5.0,2216.34,5.92,64.43,280.38,133.51,160.12,206.44,34.45,
162.0,2021-05-06,5.0,2777.1,15.42,143.95,254.63,150.68,189.29,242.47,33.95,
163.0,2021-05-07,5.0,6942.75,69.74,202.89,340.46,228.88,550.37,679.92,61.3,
164.0,2021-05-08,5.0,4539.49,30.4,119.27,340.46,198.36,314.2,386.48,40.53,
165.0,2021-05-09,5.0,2750.4,12.18,101.45,311.85,120.16,166.52,219.6,38.0,
166.0,2021-05-10,5.0,3738.4,46.94,106.93,188.83,133.51,193.82,260.34,51.17,
167.0,2021-05-11,5.0,4486.08,6.31,113.79,294.69,98.23,315.78,422.28,56.74,
168.0,2021-05-12,5.0,5661.01,49.62,146.69,280.38,121.12,369.73,487.1,58.26,
169.0,2021-05-13,5.0,9506.23,121.59,227.57,243.19,185.01,541.55,732.24,93.22,
170.0,2021-05-14,5.0,3417.97,18.55,109.67,257.49,171.66,200.27,299.56,48.13,
171.0,2021-05-15,5.0,10360.72,125.17,189.19,205.99,185.01,649.22,866.56,104.37,
172.0,2021-05-16,5.0,5767.82,59.9,138.46,340.46,221.25,386.53,520.48,66.88,
173.0,2021-05-17,5.0,9185.79,36.66,400.31,266.08,198.36,544.31,742.08,69.92,
174.0,2021-05-18,5.0,4005.43,61.69,104.19,133.04,125.89,204.53,269.12,49.65,
175.0,2021-05-19,5.0,2136.23,21.01,76.77,82.25,91.55,125.56,150.26,11.53,
176.0,2021-05-20,5.0,7476.81,121.59,126.12,208.86,93.46,414.48,548.7,44.08,
177.0,2021-05-21,5.0,4272.46,71.53,131.61,317.57,274.66,266.79,353.71,39.01,
178.0,2021-05-22,5.0,10681.15,55.88,389.34,423.43,278.47,1013.78,1192.18,123.62,
179.0,2021-05-23,5.0,1842.5,11.06,78.14,280.38,50.07,112.9,203.74,31.16,
180.0,2021-05-24,5.0,2349.85,14.75,85.0,237.47,57.7,133.72,194.58,39.52,
181.0,2021-05-25,5.0,4859.92,48.28,112.41,240.33,100.14,253.57,366.46,61.3,
182.0,2021-05-26,5.0,10360.72,187.76,301.6,566.48,167.85,638.57,874.88,106.39,
183.0,2021-05-27,5.0,10681.15,162.72,274.18,801.09,301.36,967.5,1120.43,82.08,
184.0,2021-05-28,5.0,6034.85,91.2,120.64,306.13,94.41,399.53,503.52,69.92,
185.0,2021-05-29,5.0,1134.87,3.86,43.18,208.86,49.11,84.69,127.45,22.04,
186.0,2021-05-30,5.0,2696.99,4.14,119.27,277.52,120.16,168.93,256.94,36.48,
187.0,2021-05-31,5.0,6248.47,58.12,172.73,294.69,125.89,387.79,568.58,67.89,
188.0,2021-06-01,5.0,11215.21,160.93,216.6,334.74,171.66,736.23,981.56,109.43,
189.0,2021-06-02,5.0,12603.76,95.67,260.47,514.98,173.57,1012.29,1257.99,93.22,
190.0,2021-06-03,5.0,13885.5,166.3,205.64,583.65,385.28,1172.44,1401.09,71.94,
191.0,2021-06-04,5.0,10681.15,193.12,287.89,543.59,247.96,983.74,1173.81,77.01,
192.0,2021-06-05,5.0,13885.5,64.37,282.41,354.77,301.36,1405.77,1579.32,67.89,
193.0,2021-06-06,5.0,8758.55,132.32,126.12,308.99,125.89,520.42,698.02,81.06,
194.0,2021-06-07,5.0,5233.76,56.77,175.48,371.93,129.7,326.9,415.07,58.26,
195.0,2021-06-08,5.0,2243.04,13.3,87.05,117.3,58.65,109.91,258.53,37.49,
196.0,2021-06-09,5.0,6782.53,114.44,122.01,148.77,127.79,325.89,577.53,72.96,
197.0,2021-06-10,5.0,1268.39,4.92,69.92,291.82,144.96,129.41,233.14,26.09,
198.0,2021-06-11,5.0,1321.79,3.49,113.79,158.79,221.25,136.08,253.21,19.25,
199.0,2021-06-12,5.0,1148.22,2.26,36.67,226.02,60.08,100.15,105.6,13.05,
200.0,2021-06-13,5.0,1495.36,7.26,69.23,440.6,186.92,174.01,192.95,16.47,
201.0,2021-06-14,5.0,1628.88,16.09,100.08,452.04,217.44,250.08,284.52,24.07,
202.0,2021-06-15,5.0,5874.63,101.92,116.53,248.91,98.23,276.56,429.19,65.86,
203.0,2021-06-16,5.0,2777.1,56.77,175.48,155.93,247.96,252.96,297.58,27.11,
204.0,2021-06-17,5.0,1842.5,7.6,68.55,411.99,188.83,229.35,251.04,23.05,
205.0,2021-06-18,5.0,2643.59,29.5,77.46,246.05,133.51,117.57,165.07,26.09,
206.0,2021-06-19,5.0,1495.36,12.63,56.21,211.72,101.09,82.86,107.08,17.99,
207.0,2021-06-20,5.0,1562.12,32.63,65.12,280.38,129.7,111.79,125.19,19.51,
208.0,2021-06-21,5.0,5180.36,26.82,165.88,283.24,162.13,295.81,407.96,58.77,
209.0,2021-06-22,5.0,6622.31,76.89,109.67,268.94,123.98,388.58,554.29,61.3,
210.0,2021-06-23,5.0,10360.72,203.85,148.06,463.49,232.7,607.35,855.6,86.13,
211.0,2021-06-24,5.0,3791.81,6.31,124.75,268.94,160.22,278.2,402.6,49.65,
212.0,2021-06-25,5.0,2109.53,10.06,71.97,463.49,150.68,276.64,335.82,33.44,
213.0,2021-06-26,5.0,1388.55,11.74,62.38,389.1,121.12,192.48,347.34,25.84,
214.0,2021-06-27,5.0,1562.12,5.81,56.21,389.1,125.89,198.48,286.78,27.61,
215.0,2021-06-28,5.0,2830.51,9.28,81.57,480.65,115.4,239.58,337.2,43.57,
216.0,2021-06-29,5.0,1895.9,11.51,56.21,300.41,53.41,169.62,277.77,34.96,
217.0,2021-06-30,5.0,1281.74,6.71,53.47,107.29,38.15,83.68,228.6,25.59,
218.0,2021-07-01,5.0,1041.41,2.6,50.72,115.87,30.99,63.16,282.6,21.03,
219.0,2021-07-02,5.0,1361.85,4.08,69.92,120.16,57.22,111.8,436.47,23.31,
220.0,2021-07-03,5.0,1174.93,3.58,47.3,137.33,43.39,109.7,404.69,23.81,
221.0,2021-07-04,5.0,2990.72,16.99,102.82,178.81,85.83,193.68,361.43,43.06,
222.0,2021-07-05,5.0,2590.18,28.39,89.11,248.91,160.22,231.18,415.65,44.08,
223.0,2021-07-06,5.0,1668.93,12.18,62.38,175.95,60.08,109.77,274.39,31.67,
224.0,2021-07-07,5.0,1361.85,12.18,54.15,130.18,50.07,79.36,195.39,25.08,
225.0,2021-07-08,5.0,1562.12,2.68,80.2,127.32,112.53,122.82,249.82,27.87,
226.0,2021-07-09,5.0,1214.98,12.29,56.21,303.27,107.77,131.73,182.37,16.47,
227.0,2021-07-10,5.0,814.44,4.69,49.35,286.1,101.09,89.67,96.77,13.93,
228.0,2021-07-11,4.0,827.79,6.43,34.96,125.89,59.61,45.38,50.5,11.91,
229.0,2021-07-12,4.0,867.84,7.82,50.72,110.15,70.57,45.47,53.39,12.29,
230.0,2021-07-13,5.0,1255.04,8.61,77.46,71.53,114.44,55.94,70.04,19.25,
231.0,2021-07-14,5.0,2269.75,14.53,89.11,52.93,129.7,106.88,150.65,21.79,
232.0,2021-07-15,5.0,1548.77,20.79,69.23,113.01,115.4,89.7,118.1,23.56,
233.0,2021-07-16,5.0,3364.56,12.74,142.57,173.09,129.7,214.46,280.3,38.0,
234.0,2021-07-17,5.0,5447.39,80.47,142.57,251.77,87.74,262.13,379.48,59.28,
235.0,2021-07-18,5.0,4219.06,100.14,61.01,61.51,99.18,174.08,254.6,31.67,
236.0,2021-07-19,5.0,2937.32,110.87,53.47,10.82,167.85,168.82,203.77,17.73,
237.0,2021-07-20,5.0,14099.12,343.32,175.48,34.33,324.25,968.16,1137.74,170.23,
238.0,2021-07-21,5.0,2269.75,48.73,148.06,163.08,196.46,199.95,231.19,13.81,
239.0,2021-07-22,5.0,2643.59,48.28,69.23,38.98,135.42,158.57,193.04,17.99,
240.0,2021-07-23,5.0,4699.71,9.28,150.8,188.83,99.18,320.88,397.25,24.07,
241.0,2021-07-24,5.0,2723.69,22.8,76.77,303.27,115.4,206.6,242.4,16.72,
242.0,2021-07-25,5.0,5554.2,125.17,76.08,263.21,111.58,298.35,396.14,26.85,
243.0,2021-07-26,5.0,5126.95,69.74,120.64,57.22,177.38,314.46,390.83,28.37,
244.0,2021-07-27,5.0,3471.37,58.12,75.4,74.39,61.99,268.34,296.05,16.72,
245.0,2021-07-28,5.0,4699.71,146.63,67.17,16.81,160.22,306.95,347.77,37.49,
246.0,2021-07-29,5.0,5981.45,110.87,67.86,25.39,86.78,346.35,455.25,32.17,
247.0,2021-07-30,5.0,7370.0,193.12,116.53,43.27,205.99,437.56,531.42,24.57,
248.0,2021-07-31,5.0,2136.23,12.85,91.85,194.55,114.44,135.03,168.12,16.21,
249.0,2021-08-01,5.0,7476.81,130.53,87.05,92.98,69.62,440.36,585.71,23.81,
250.0,2021-08-02,5.0,3044.13,39.79,108.3,19.49,226.97,232.73,262.53,19.0,
251.0,2021-08-03,5.0,1535.42,16.99,54.84,117.3,82.02,88.67,112.55,13.05,
252.0,2021-08-04,5.0,1949.31,19.45,76.77,80.11,98.23,125.7,171.91,22.8,
253.0,2021-08-05,5.0,6462.1,60.8,160.4,260.35,209.81,400.95,537.0,43.57,
254.0,2021-08-06,5.0,11856.08,253.92,216.6,220.3,204.09,738.31,926.45,48.64,
255.0,2021-08-07,5.0,3631.59,42.92,154.91,191.69,223.16,272.08,317.88,15.83,
256.0,2021-08-08,5.0,4165.65,83.15,157.65,12.7,240.33,325.08,380.03,14.31,
257.0,2021-08-09,5.0,9078.98,282.53,135.72,1.92,242.23,577.05,713.99,72.96,
258.0,2021-08-10,5.0,2723.69,44.26,87.74,131.61,53.41,161.73,370.86,35.97,
259.0,2021-08-11,5.0,1655.58,5.64,71.29,140.19,36.72,76.99,162.5,28.12,
260.0,2021-08-12,5.0,2029.42,14.08,85.68,125.89,43.87,92.83,217.78,29.13,
261.0,2021-08-13,5.0,3017.43,46.49,97.33,133.04,55.31,129.79,259.59,39.52,
262.0,2021-08-14,5.0,1495.36,5.03,66.49,120.16,32.9,67.49,161.76,21.03,
263.0,2021-08-15,5.0,5928.04,125.17,73.34,134.47,70.57,311.04,527.06,54.72,
264.0,2021-08-16,5.0,12924.19,261.07,116.53,194.55,154.5,763.33,1103.37,107.41,
265.0,2021-08-17,5.0,11001.59,194.91,138.46,246.05,205.99,685.87,956.45,102.34,
266.0,2021-08-18,5.0,9613.04,211.0,161.77,394.82,118.26,730.5,984.2,78.02,
267.0,2021-08-19,5.0,7049.56,160.93,148.06,85.83,251.77,529.76,677.16,33.95,
268.0,2021-08-20,5.0,1508.71,23.02,71.97,20.21,127.79,62.87,81.03,10.64,
269.0,2021-08-21,5.0,1415.25,17.21,58.26,32.54,59.13,60.86,74.45,7.85,
270.0,2021-08-22,5.0,2857.21,43.36,63.75,22.35,83.92,129.5,177.0,14.69,
271.0,2021-08-23,5.0,7476.81,166.3,74.03,78.68,95.37,402.12,538.54,40.03,
272.0,2021-08-24,5.0,9292.6,246.76,73.34,25.75,121.12,469.8,609.76,36.48,
273.0,2021-08-25,5.0,2323.15,19.45,78.83,121.59,44.82,111.46,231.24,33.44,
274.0,2021-08-26,5.0,6568.91,157.36,86.37,127.32,93.46,333.17,611.05,67.89,
